Item,Item Name,Item Group,Warehouse,Stock UOM,Balance Qty,Balance Value,Opening Qty,Opening Value,In Qty,In Value,Out Qty,Out Value,Valuation Rate,Reserved Stock,Company
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,ZIBRA & CO LTD LOGISTICS - Novacare Ltd - NL,Nos,-4,-8000,7,14000,0,0,11,22000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Arinze Esther Logistics - Novacare Ltd - NL,Nos,21,37800,22,39600,0,0,1,1800,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Arinze Esther Logistics - Novacare Ltd - NL,Nos,25,50000,30,60000,0,0,5,10000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Ola Cash - Novacare Ltd - NL,Nos,9,16200,19,34200,0,0,10,18000,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Ola Cash - Novacare Ltd - NL,Nos,19,38000,20,40000,0,0,1,2000,2000,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Adekunle Logistic - Novacare Ltd - NL,Nos,31,62000,34,68000,0,0,3,6000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Adekunle Logistic - Novacare Ltd - NL,Nos,40,72000,43,77400,0,0,3,5400,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Ibitoye adewale Logistics - Novacare Ltd - NL,Nos,23,46000,42,84000,0,0,19,38000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Ibitoye adewale Logistics - Novacare Ltd - NL,Nos,13,23400,34,61200,0,0,21,37800,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Chidi Godstime Egege Logistics - Novacare Ltd - NL,Nos,7,14000,22,44000,0,0,15,30000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Chidi Godstime Egege Logistics - Novacare Ltd - NL,Nos,33,59400,39,70200,0,0,6,10800,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Olufunke Babalola Logistics - Novacare Ltd - NL,Nos,37,74000,40,80000,0,0,3,6000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Olufunke Babalola Logistics - Novacare Ltd - NL,Nos,29,52200,34,61200,0,0,5,9000,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Raphael Michael Logistics - Novacare Ltd - NL,Nos,69,138000,51,102000,30,60000,12,24000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Raphael Michael Logistics - Novacare Ltd - NL,Nos,52,93600,36,64800,30,54000,14,25200,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,HOG logistics LOGISTICS - Novacare Ltd - NL,Nos,2,4000,2,4000,0,0,0,0,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,HOG logistics LOGISTICS - Novacare Ltd - NL,Nos,10,18367.3,17,31224.41,0,0,7,12857.11,1836.73,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Akanimo Edet Akpan Logistics - Novacare Ltd - NL,Nos,50,90000,50,90000,0,0,0,0,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Akanimo Edet Akpan Logistics - Novacare Ltd - NL,Nos,26,52000,27,54000,0,0,1,2000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Olaseni Adewumi James Logistics - Novacare Ltd - NL,Nos,36,64800,41,73800,0,0,5,9000,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Olaseni Adewumi James Logistics - Novacare Ltd - NL,Nos,41,82000,44,88000,0,0,3,6000,2000,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Teekina kuroakegha Gbeneteh Logistics - Novacare Ltd - NL,Nos,17,34000,24,48000,0,0,7,14000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Teekina kuroakegha Gbeneteh Logistics - Novacare Ltd - NL,Nos,29,52200,39,70200,0,0,10,18000,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,KENNEDY OROWO EDEYE Logistics - Novacare Ltd - NL,Nos,19,38000,20,40000,0,0,1,2000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,KENNEDY OROWO EDEYE Logistics - Novacare Ltd - NL,Nos,17,30600,24,43200,0,0,7,12600,1800,0,Novacare Ltd
VELORA HERBAL TEA,VELORA HERBAL TEA,Leafora,AHUAKAGHA CHIZURUOKE COSMOS Logistics - Novacare Ltd - NL,Nos,34,78200,34,78200,0,0,0,0,2300,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,AHUAKAGHA CHIZURUOKE COSMOS Logistics - Novacare Ltd - NL,Nos,22,42900,22,42900,0,0,0,0,1950,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Adetola Sam Adewuyi LOGISTICS - Novacare Ltd - NL,Nos,22,39600,32,57600,0,0,10,18000,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Adetola Sam Adewuyi LOGISTICS - Novacare Ltd - NL,Nos,22,44000,33,66000,0,0,11,22000,2000,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Victor Ogbenyi Logistics - Novacare Ltd - NL,Nos,9,18000,20,40000,0,0,11,22000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Victor Ogbenyi Logistics - Novacare Ltd - NL,Nos,14,25200,38,68400,0,0,24,43200,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,RAPH XPRESS LOGISTICS - Novacare Ltd - NL,Nos,1,2000,5,10000,0,0,4,8000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,RAPH XPRESS LOGISTICS - Novacare Ltd - NL,Nos,5,9000,31,55800,0,0,26,46800,1800,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Ibylogistics Limited LOGISTICS - Novacare Ltd - NL,Nos,9,16200,11,19800,0,0,2,3600,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Ibylogistics Limited LOGISTICS - Novacare Ltd - NL,Nos,14,28000,14,28000,0,0,0,0,2000,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,DINO LOGISTICS - Novacare Ltd - NL,Nos,9,18000,9,18000,0,0,0,0,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,DINO LOGISTICS - Novacare Ltd - NL,Nos,5,9000,5,9000,0,0,0,0,1800,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Olupona oluwaseyi Logistics - Novacare Ltd - NL,Nos,62,111600,62,111600,0,0,0,0,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Olupona oluwaseyi Logistics - Novacare Ltd - NL,Nos,59,118000,59,118000,0,0,0,0,2000,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Tajudeen A Ayetigbo LOGISTICS - Novacare Ltd - NL,Nos,24,48000,27,54000,0,0,3,6000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Tajudeen A Ayetigbo LOGISTICS - Novacare Ltd - NL,Nos,15,27000,19,34200,0,0,4,7200,1800,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Ezekiel Ameh Logistics - Novacare Ltd - NL,Nos,1,1800,3,5400,0,0,2,3600,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Ezekiel Ameh Logistics - Novacare Ltd - NL,Nos,14,28000,23,46000,0,0,9,18000,2000,0,Novacare Ltd
ORAVITA CAPSULE,ORAVITA CAPSULE,Leafora,Ezekiel Ameh Logistics - Novacare Ltd - NL,Nos,15,29250,25,48750,0,0,10,19500,1950,0,Novacare Ltd
